OBJECTID,METER_ID,VENDOR,PAY_POLICY,PARK_NO_PAY,TOW_AWAY,BLK_NO,STREET,LONGITUDE,LATITUDE,G_DISTRICT,G_SUBZONE,G_ZONE,BASE_RATE
2218,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074155,42.346607,DISTRICT 0,0CD,CD,0.25
2219,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074077,42.34667,DISTRICT 0,0CD,CD,0.25
2220,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073999,42.346734,DISTRICT 0,0CD,CD,0.25
2221,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073921,42.346798,DISTRICT 0,0CD,CD,0.25
2222,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073842,42.346861,DISTRICT 0,0CD,CD,0.25
2223,,IPS,,,,CHAN,COLUMBUS AV,-71.073805,42.34689,,,,0.25
2224,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073764,42.346925,DISTRICT 0,0CD,CD,0.25
2225,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073686,42.346989,DISTRICT 0,0CD,CD,0.25
2226,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.073608,42.347052,DISTRICT 0,0CD,CD,0.25
2227,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.07353,42.347116,DISTRICT 0,0CD,CD,0.25
